count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
588,269,794,-8.521821,3.9471626,0.11651521176099777,0.02948951907455921,-0.024181101471185684,0.7134938836097717,9.5220308303833,1.3695251941680908,-5.7554765,3.6515226,3.286609,480.0,661.875,662.25,178.6,515.25,522.75,428.25,174.7,291.75,518.625
589,269,794,-8.275141,3.976925,0.09818925708532333,0.011774427257478237,-0.02540283277630806,0.6967339515686035,9.466962814331055,0.9170072674751282,-5.634991,4.8061447,3.0458782,480.0,663.75,669.75,179.6,522.75,526.5,432.0,174.7,295.5,518.625
590,269,794,-8.18341,3.9225578,0.015111584216356277,-0.020601430907845497,0.016746869310736656,0.9122186899185181,9.416683197021484,1.5538843870162964,-6.515994,4.3991756,2.8785784,480.0,663.75,662.25,177.6,515.25,519.0,423.75,173.5,292.5,519.375
591,269,794,-8.22848,3.9816086,0.06092647835612297,-0.029764410108327866,-0.002800817135721445,0.8140534162521362,9.524425506591797,1.4676904678344727,-5.7908683,5.58355,2.5265794,480.0,656.25,666.75,178.3,514.5,516.375,424.5,173.2,288.0,513.0
592,269,1304,-8.434006,4.054836,0.010835527442395687,0.011774427257478237,0.019190331920981407,0.7637736797332764,9.725543975830078,1.9321798086166382,-6.3692117,4.808046,3.2678638,472.5,667.5,654.0,180.9,512.25,536.625,423.75,177.5,292.5,534.375
593,269,1304,-8.41264,4.1442957,0.018776776269078255,0.015439619310200214,0.0033078354317694902,0.6440598964691162,9.799766540527344,1.7885233163833618,-5.8175306,5.2425,3.0227318,480.0,663.75,657.75,179.9,516.0,532.875,423.75,176.5,292.5,530.625
594,269,1304,-8.380263,4.2172394,0.01999850571155548,0.07591527700424194,-0.010131199844181538,0.8356019258499146,9.744698524475098,2.233858346939087,-7.4404125,5.107557,3.1931307,470.625,661.875,657.75,178.9,516.0,529.125,423.75,176.0,292.5,528.75
595,269,1304,-8.322708,4.157291,-0.0026035078335553408,0.06125451251864433,-0.008298603817820549,0.6823683381080627,9.785401344299316,1.9106312990188599,-6.958674,5.6662397,3.3619263,470.625,661.875,657.75,179.9,516.0,532.875,423.0,176.3,297.0,535.125
596,161,1304,-8.407234,4.208192,0.012668123468756676,-0.006551529746502638,0.007583891972899437,0.9744698405265808,9.531607627868652,1.752609133720398,-6.650038,4.0271697,3.5919697,448.125,661.875,632.25,179.6,485.25,526.5,397.5,176.0,266.25,528.75
597,161,1304,-8.541153,4.0132036,-0.018486004322767258,0.016050484031438828,-0.013796391896903515,0.8140534162521362,9.560338973999023,1.5275473594665527,-6.6568136,4.9266233,3.394257,448.125,661.875,631.5,179.4,489.75,531.0,405.75,177.2,269.25,528.0
598,161,1304,-8.712298,4.005488,0.02855061925947666,-0.02854267880320549,0.01124908309429884,0.821236252784729,9.44301986694336,1.5251530408859253,-6.4495435,4.7851853,2.8352118,448.125,669.375,627.75,180.9,486.0,536.625,397.5,178.0,266.25,536.25
599,161,1304,-8.7280035,4.0168295,0.05481782555580139,-0.0047189341858029366,-0.01990504376590252,0.7134938836097717,9.550762176513672,1.333611011505127,-7.043309,4.2772393,3.155385,450.0,669.375,631.5,180.9,489.75,536.625,397.5,178.0,266.25,536.25
600,53,284,-7.950561,2.953797,0.002894279547035694,-0.02915354259312153,0.01247081346809864,0.43336373567581177,9.799766540527344,1.5874042510986328,-6.6599927,4.8337426,2.5858104,418.125,643.125,590.25,172.4,448.5,504.75003,356.25,168.5,225.0,500.625
601,53,284,-7.8666472,3.0462832,0.011446393094956875,-0.0047189341858029366,2.535090607125312E-4,0.4429408311843872,9.785401344299316,1.7550034523010254,-5.5812836,4.6250114,2.5861328,418.125,643.125,598.5,172.6,451.5,500.24997,364.5,169.7,228.0,499.875
602,53,284,-7.771063,2.9755878,-0.08445944637060165,-0.06091853603720665,0.02468811720609665,0.4022381603717804,9.785401344299316,1.5275473594665527,-5.73894,4.1406145,2.6527677,423.75,643.125,597.75,172.9,456.0,506.62503,363.75,170.0,232.5,506.25
603,53,284,-7.8469076,3.0963042,0.007781201507896185,-0.047479499131441116,0.0033078354317694902,0.45251792669296265,9.862017631530762,2.142875909805298,-6.1389995,4.3628316,2.6925445,418.125,643.125,594.0,171.9,452.25,502.87503,360.75,169.2,224.25,498.0
604,917,454,-8.882041,4.087113,0.05298522859811783,-0.033429600298404694,-0.004633412696421146,0.8691217303276062,9.534002304077148,1.7262721061706543,-6.890789,4.587955,3.3244257,450.0,661.875,627.75,178.9,486.0,529.125,397.5,175.5,266.25,526.875
605,917,454,-8.721983,4.0789704,-0.027648983523249626,-0.027320947498083115,0.028353309258818626,0.9289786219596863,9.565128326416016,1.9106312990188599,-6.835058,4.3839316,3.1596599,448.125,669.375,632.25,180.1,485.25,528.375,401.25,176.0,270.0,528.75
606,917,454,-8.6847105,4.1237006,0.0022834143601357937,-0.01999056525528431,-9.68221400398761E-4,0.6392713785171509,9.706390380859375,1.4365649223327637,-6.962622,4.344374,3.3422227,448.125,661.875,631.5,179.9,489.75,532.875,401.25,176.5,270.0,530.625
607,917,454,-8.808745,4.142424,0.06275907158851624,0.11195632815361023,-0.01929417811334133,0.7182824611663818,9.7016019821167,1.7909175157546997,-6.8254395,4.714424,3.3125978,448.125,669.375,631.5,179.9,489.75,532.875,401.25,176.5,270.0,530.625
608,1025,1304,-8.953846,4.41368,-0.008101294748485088,-0.044425174593925476,0.03018590621650219,0.9433442950248718,9.407105445861816,1.4030450582504272,-6.166913,5.193115,3.2435663,453.75,675.0,627.0,182.2,490.5,546.75,400.5,178.3,274.5,542.625
609,1025,1304,-9.37174,4.5495195,0.024885427206754684,-0.06030767038464546,0.004529566038399935,0.8020820617675781,9.517242431640625,1.5419130325317383,-6.271705,5.2797832,2.9761786,450.0,675.0,631.5,183.4,489.75,546.0,401.25,179.5,270.0,541.875
610,1025,1304,-9.326877,4.570911,0.09330233931541443,0.0679740309715271,-0.008909469470381737,0.9146129488945007,9.56273365020752,1.5682499408721924,-6.0147467,4.618915,3.6844063,455.625,688.125,635.25,184.9,493.5,551.625,404.25,180.3,278.25,550.125
611,1025,1304,-9.338194,4.5549703,-0.12966348230838776,-0.10612256824970245,0.009416487999260426,0.9984126091003418,9.644139289855957,2.5235655307769775,-6.2165956,4.258077,3.582246,453.75,680.625,635.25,183.9,493.5,547.875,405.0,180.5,273.75,545.625
612,161,1219,-9.079717,4.158759,-0.03253590315580368,-0.048090364784002304,0.02407725341618061,0.8834874033927917,9.617801666259766,1.9178141355514526,-6.142969,4.1468177,3.4069293,442.5,682.5,624.0,182.4,482.25,542.25,390.0,180.0,258.75,543.75
613,161,1219,-9.1060915,4.3053665,0.03221581131219864,0.023380866274237633,-0.006466008722782135,0.5698373913764954,9.739910125732422,1.3719195127487183,-5.7870574,4.0587134,3.3263834,442.5,675.0,616.5,181.9,474.75,540.375,386.25,179.0,255.0,540.0
614,161,1219,-9.215359,4.3509583,0.018776776269078255,0.0026114489883184433,-0.012574661523103714,0.67518550157547,9.768641471862793,1.9273911714553833,-5.4035544,4.286264,2.9704363,435.0,671.25,621.0,182.6,474.0,537.75,386.25,179.5,255.0,541.875
615,161,1219,-9.089366,4.2981143,0.01694417931139469,0.06247624382376671,-0.021126773208379745,0.5937801599502563,9.761458396911621,1.7238779067993164,-5.5248637,4.351038,3.2871776,442.5,675.0,620.25,181.9,478.5,540.375,390.0,178.5,258.75,538.125
616,1025,1134,-9.404747,4.44694,0.038935329765081406,-0.027320947498083115,-0.002800817135721445,0.9026415944099426,9.507665634155273,1.6472610235214233,-6.5050025,5.1788783,2.8988802,431.25,675.0,609.0,182.9,467.25,544.125,382.5,180.0,251.25,543.75
