count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
921,593,879,-15.559545,2.2610874,-0.049294378608465195,0.08961576223373413,0.00946352444589138,0.34477555751800537,9.299363136291504,2.913832426071167,-10.64293,-0.08526936,-4.9481616,472.5,639.375,665.25,172.4,497.25,478.5,388.5,180.6,215.25,503.99997
922,593,879,-15.381303,2.4066808,0.09425894916057587,-0.04294199496507645,-0.021079737693071365,0.49322059750556946,9.409500122070312,2.3631491661071777,-9.583961,0.7971128,-4.7601943,472.5,631.875,669.0,171.4,501.0,474.75,392.25,179.1,219.0,498.37497
923,593,879,-15.719775,2.5171306,-0.08716803044080734,0.025474913418293,-0.005197241436690092,0.4860377907752991,9.445414543151855,2.877918243408203,-10.433061,-0.044729784,-4.5779614,480.0,646.875,668.25,172.2,505.5,483.0,396.0,180.6,222.75,503.99997
924,593,879,-15.831673,2.3942728,0.14190644025802612,-0.006900944747030735,0.04489370808005333,0.23224465548992157,9.325700759887695,3.035940408706665,-9.795039,1.6123476,-4.504036,472.5,639.375,664.5,172.7,501.75,484.875,388.5,180.6,215.25,503.99997
925,593,879,-15.550008,2.4717588,0.04600059613585472,-0.005679213907569647,-0.024134064093232155,0.5171633362770081,9.342460632324219,2.2554068565368652,-10.280451,-0.69929045,-4.460818,480.0,639.375,672.0,171.7,509.25,481.125,395.25,179.9,227.25,506.62503
926,485,624,-15.279688,1.9330863,-0.18796078860759735,-0.31172269582748413,0.03817418962717056,0.2777358889579773,9.438231468200684,2.54032564163208,-9.390186,1.4084606,-4.723212,382.5,661.875,594.75,179.1,421.5,498.37497,303.75,186.5,120.0,515.625
927,53,1644,-27.5439,4.0296493,0.10464365780353546,0.0010403034975752234,-0.038794830441474915,0.8140534162521362,8.595446586608887,4.707144260406494,-11.763246,0.45180142,-1.9684649,472.5,866.25,660.0,234.0,502.5,720.0,402.0,238.7,239.25,732.375
928,53,1644,-27.608213,3.9918706,-0.0010360274463891983,0.02852923981845379,-0.00580810708925128,0.6057515144348145,8.638543128967285,4.613767623901367,-11.843404,0.19470723,-2.2136517,468.75,866.25,652.5,232.0,495.0,712.5,393.75,236.0,236.25,727.5
929,53,1644,-27.216948,3.618737,0.18955393135547638,0.23683428764343262,0.022291693836450577,0.4261809289455414,8.719948768615723,4.3863115310668945,-11.433219,1.873105,-2.5537446,468.75,866.25,648.75,232.0,491.25,712.5,390.75,236.7,228.0,724.875
930,53,1644,-27.032934,3.3237967,0.08998289704322815,-0.05699189379811287,-0.04001655802130699,0.48843204975128174,8.739103317260742,4.668835639953613,-11.33993,1.2591181,-2.40577,453.75,858.75,645.0,231.0,487.5,708.75,382.5,234.5,225.0,721.875
